Date,Type,Link
2023-06-01 08:52:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7069487203361411072
2023-03-10 12:48:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7038598950576132096
2023-02-17 17:38:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7031372750623502336
2023-02-06 15:22:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7028378877185937408
2022-12-04 08:02:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003399418917888001
2022-09-13 14:59:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6974022420017860608
2022-07-26 11:19:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6956180193623347200
2022-07-16 14:40:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6952454514960461824
2022-06-25 14:33:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6945355059463405569
2022-06-03 12:26:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6929600197945675776
2022-01-25 03:56:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6890822950401249280
2021-10-19 17:11:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6851860111879626752
2021-06-26 12:11:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6813609040925536256
2021-06-17 10:42:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6810266574751072257
2021-05-11 12:19:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6797530061286330368
2021-05-11 12:18:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6795290250563379200
2021-05-11 12:16:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6797297259332612096
2021-05-11 12:15:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6795414931102683136
2021-05-11 12:15:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6795062716810739712
2021-04-26 11:51:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6791015480871182336
2021-04-26 11:50:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6790986972811857921
2021-04-22 14:43:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6790995246760148992
2021-04-06 14:51:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6782659660102160384
2021-03-22 02:49:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6774864831435689984
2021-03-03 18:03:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6772917741297905665
2021-03-02 13:56:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6772162877353672705
2021-01-06 23:14:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6751566051747606529
2020-10-09 11:14:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6719417308089004032
2020-10-09 11:14:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6717823034561986560
2020-09-26 14:50:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6714598725982978048
2020-09-01 12:59:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6705908088324669440
2020-07-15 13:26:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6687075647631695872
2020-07-09 20:41:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6686783542338338816
2020-07-09 20:39:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6686754334828498944
2020-07-08 20:22:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6686329357490896896
2020-07-06 18:19:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6684565974764531713
2020-07-01 04:01:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6681612523579416577
2020-06-30 03:32:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6683455436387086336
2019-09-29 12:58:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6580581729831047168
2019-09-29 12:57:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6581958236444909568
2019-09-29 12:57:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6582373910837248000
2019-07-25 19:35:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6560221954719137792
2018-09-12 10:59:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6443806034053070848
2018-09-12 10:58:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6445391269668614144
2018-09-12 10:51:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6445572118603198464
2018-09-12 10:51:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6443805878645714945
2018-09-12 10:51:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6445033670871957504
2018-09-12 10:50:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6443808881528307712
2018-06-26 08:43:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6417032144790528001
2018-06-26 08:40:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6416291593124401152
2018-06-26 08:40:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6416291593124401152?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6416291593124401152%2C6416403885769924608%29
2018-06-26 08:39:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6417005558536105984
2018-06-26 08:39:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6416746217509842944
2018-06-26 08:38:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6416663855648292864
2018-06-21 12:00:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A8838160647779471477
2018-06-06 16:14:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6409836016210837504?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A6409836016210837504%2C6409985652573630464%29
2018-05-30 17:19:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6407226895062097920
2018-05-21 11:12:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6404190580640870400
2018-05-21 11:12:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6402203800421048320
2018-05-21 11:11:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6403733687808073728
2018-04-24 11:13:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6393193919902990336
2018-02-14 05:23:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6367926596933808128
2017-09-05 23:09:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6310396339159072768
2016-10-08 17:13:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6187968967697526784
2016-08-13 03:21:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6169879169640517632
2016-07-20 22:36:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6161573561476599808
2016-02-16 12:11:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6104034067081154560
2015-12-20 00:52:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6083715948425072640
2015-12-04 03:52:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A8600833657386697266
2015-11-04 02:16:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A8855377896588898881
2012-12-08 15:07:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5682908656153157632
2012-09-04 17:02:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A4167569-144985456
